001	RODAMIENTOS*
005	MATERIAL PARA AISLACION*
010	MATERIAL ELECTRICO*
011	CABLES ELECT. INST. Y COMUNIC*
015	OTROS
020	VALVUALS, TRAMPAS, ACCESORIOS*
025	BULONERIA*
030	FILTROS INDUSTRIALES*
035	MATERIALES FERROSOS*
040	MATERIALES NO FERROSOS*
045	FUSIBLES MECANICOS*
050	MATERIALES PARA SOLDADURA*
055	HERRAMIENTAS Y MAQUINAS*
060	EQU. Y ELEM. P/TRANS. DE POT*
065	MATERIALES SINTETICOS Y ELAST*
070	ABRASIVOS*
075	PINTURAS, BARNICES, DILUYENTE*
080	CAÑERIAS, MANGUERAS Y ACC*
085	COMBUSTIBLES*
090	MATERIALES P/ LA CONSTRUCCION*
095	INSUMOS*
100	CABLES, CADENAS Y CUERDAS*
101	RODAMIENTOS
102	BOMBAS CENTRIFUGAS
103	BOMBAS GENERALES
104	MATERIALES PARA AISLACION
105	SELLOS MECANICOS
106	MAT. P/USO EN REFRIGERACION
107	FILTROS INDUSTRIALES
108	MATERIALES NO FERROSOS
109	LUBRICANTES, ACCES. DE LUB.
110	FUSIBLES MEC. E HIDRAULICOS
111	MATERIAL PARA SOLDADURA
112	MAT.SINT. Y ELASTOMEROS
113	HERRAMIENTAS Y MAQUINAS
114	ABRASIVOS
115	PRENSA DE ESTRUCCION DE ACEITE
116	COCINADORES
117	PELLETEADORA
118	GRANULADORA ALLOCCO
119	ENFRIADORES
120	DESCASCARADORAS
121	ZARANDAS
122	CERNEDORES
123	MOLINOS TRITURADORES
124	MOLINOS DE TRITURACION FINA
125	LAMINADORES
126	INTERCAMBIADOR DE CALOR
127	DESOLVENTIZACION DE HARINA
128	LLENADORA BAZA
129	EQUIPOS P/ENV.,EMPAQ. Y AFINES
130	APARATOS PARA PROCESO
131	EQU.P/SEC.MOLIEN.Y TERMINACION
132	SECADORES
133	TORRES DE ENFRIAMIENTO
134	SOPLANTES
135	COMPRESORES
136	INSUMOS DE COMPUTACION
137	EXTRACCION DE ACEITE
138	CABLES, CADENAS Y CUERDAS
139	ELEMENTO P/TRATAMIENTO DE AGUA
140	PINTURA,PRTECTOR Y DILUYENTE
141	MOT. ELECT. Y ACCESORIOS
142	MAT. P/LA CONSTRUCCION
143	ELEM. P/SELLADO DE FLUIDOS
144	BULONES,TUERCAS,ARANDELAS,ETC
145	EQUIPO,REP.P/TRANS.DE PRODUCTO
146	ELEMENTOS DE CALDERA
147	ELEMENTOS P/TRANS.DE POTENCIA
148	VALVULAS,TRAMPAS,CANILLAS,ETC
149	EXPANDERS
150	NEUMATICA
151	AUTOMATIZACION INDUSTRIAL
152	MATERIAL ELECTRONICO
153	INTRUM. DE MEDICION Y CONTROL
154	CAÑERIA,MANGUERAS Y ACCESORIOS
155	CONTROL Y SUPERVISION DE FUEGO
156	EQUIPOS PARA COMUNICACION
157	MATERIALES FERROSOS
158	HIDRAULICA
159	MAQUINAS CENTRIFUGAS
160	MATERIALES ELECTRICOS
161	CONDUCTOR ELECT.INSTR.COMUNIC.
163	CALADORES
164	PLANTA TRATAMIENTO DE AGUA
165	NEUMATICA*
166	MANTENIMIENTO/PARADAS/AMPLIACI
167	EQUIPOS DOSIFICADORES
168	REACTORES
169	PLANTA DE OLEINAS
170	HIDRAULICA*
175	ELEMENTOS DE AUTOM. INDUSTRIA*
180	INSTRUMENTOS DE MED. Y CTROL*
185	MATERIAL ELECTRONICO*
190	DROGAS Y ELEM. DE LABORATORIO*
195	MOTOCARGADORAS*
196	PALAS CARGADORAS*
200	PRENSAS DE ESTRUCCION DE ACEI*
210	COCINADORES*
220	SEPARADORAS CENTRIFUGAS*
230	PELLETADORAS*
235	GRANULADORA ALLOCO*
240	ENFRIADORES*
250	DESCASCARADORA*
260	ZARANDAS*
270	ROTOSTARS*
280	CERNEDORES*
290	MOLINOS TRITURADORES*
300	MOLINOS DE TRITURACION FINA*
301	INSUMOS ENVASADO
302	NIZA PLANTA DE JUGOS
303	NIZA PLANTA MAYONESA
304	NIZA PLANTA MANI
305	PAPELERIA Y LIBRERIA
306	COMBUSTIBLES
307	PROD.QUIMICOS,GASES E INSUMOS
308	ARTICULOS DE LIMPIEZA
309	DESCARTABLES
310	LAMINADORES*
311	GAVETAS Y ESTANTERIA
314	TAMBORES/BIDONES VACIOS
315	INSUMOS P/CAMPOS
320	EXPANDER*
330	EXTRACCION DE ACEITE*
340	DESTILACION DE ACEITE*
350	DESOLVENTIZACION DE HARINA*
360	INTERCAMBIADORES DE CALOR*
370	REFINADO DE ACEITE*
380	ELEMENTOAS DE CALDERA*
390	ELEMENTOS P/ TRATAM. DE AGUA*
400	CONTROL Y SUPERVISION DE FUEG*
401	ELEMENTOS CONTRA INCENDIO
402	ELEMENTO P/PROTECCION PERSONAL
403	INDUMENTARIA
404	ELEMENTOS DEMARCATORIOS
405	ELEMENTOS DE SEÑALIZACION
406	CONTROL DE DERRAMES
407	ELEMENTOS P/ELEVACION CARGAS
408	CONTROL DE PLAGAS
410	SECADORES*
420	TORRES DE ENFRIAMIENTO*
430	SOPLANTES*
440	MOTOGENERADOR*
450	COMPRESORES*
460	LLENADOR BAZA*
470	EQUIPOS PARA COMUNICACION*
480	ELEM. DE SEG. E HIG. IND*
490	PAPEL Y LIBRERIA*
495	INSUMOS DE COMPUTACION*
500	ARTICULOS DE LIMPIEZA*
501	SECADORES DE GRANO
502	CALADORES
503	PLATAFORMAS VOLCADORAS
504	CERNEDORES
505	BALANZAS (CAMIONES/VAGONES)
506	CINTA TRANSPORTADORA COMPLETA
507	SILOS Y CELDAS
508	SISTEMA DE VENTILACION P/SILOS
509	BARRERAS AUTOMATICAS
510	REDLERS COMPLETOS
511	LAMINADORES Y EQUIPOS
512	ZARANDAS
513	ELEVADORES COMPLETOS
514	TRANSPORTES NEUMATICOS
515	DESOLVENTIZADORES
516	SEPARADORES MAGNETICOS
520	EQUIPOS DE ENVASADO*
530	APARATOS PARA PROCESOS
601	ACEITES
602	ABS
603	MAYONESAS
604	KETCHUP
605	SALSA GOLF
606	BACJ
607	Manteca de Manì
608	Poroto de Soja
609	MOSTAZAS
610	CAJA OBSEQUIO
611	Blanched
613	BLANCHED PEANUT
614	RAW PEANUT
615	MANI CURADO
620	CARNICERIA CORTE DE CERDOS
621	CARNICERIA SUBPRODUCTOS
622	CARNICERIA EMBUTIDOS FRESCOS
623	CARNICERIA RESES
631	CORTE ELABORADO COCIDO
632	CORTE ELABORADO SALAZONES
633	CORTE ELABORADO SECOS
634	CORTE ELABORADO EMULSIONES
680	CAJA OBSEQUIO
